[礼物] 英姿🐰 : 粉丝团灯牌 x1 (钻石:0, repeatEnd=true)
[礼物] 萌兔英 : 人气票 x1 (钻石:1, repeatEnd=true)
[礼物] 请你记住我！ : Thuglife x1 (钻石:99, repeatEnd=false)
[礼物] 兵哥 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 兵哥 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 往前冲 : 入团卡 x1 (钻石:1, repeatEnd=false)
[礼物] 往前冲 : 恭喜 往前冲 成为第10926名音缘～成员 x1 (钻石:0, repeatEnd=true)
[礼物] 往前冲 : 入团卡 x1 (钻石:1, repeatEnd=true)
[礼物] 往前冲 : 粉丝团灯牌 x1 (钻石:1, repeatEnd=false)
[礼物] 海和 : Thuglife x1 (钻石:99, repeatEnd=false)
[礼物] 玉娣 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 玉娣 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 海和 : Thuglife x1 (钻石:99, repeatEnd=false)
[礼物] 海和 : 粉丝团灯牌 x1 (钻石:1, repeatEnd=false)
[礼物] 海和 : 海和 刚刚升级至【大城在努力】粉丝团 Lv7 x1 (钻石:0, repeatEnd=true)
[礼物] 玉娣 : Thuglife x1 (钻石:99, repeatEnd=false)
[礼物] 邵林 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 邵林 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 我爱唱 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 我爱唱 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 大拽 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 绿叶 : 粉丝团灯牌 x1 (钻石:1, repeatEnd=false)
[礼物] 大拽 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 大拽 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 大拽 : 小心心 x2 (钻石:2, repeatEnd=false)
[礼物] 大拽 : 小心心 x2 (钻石:2, repeatEnd=true)
[礼物] 通情达仪 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 通情达仪 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 用户冬天 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 用户冬天 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 段大姐 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 38313 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 段大姐 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 38313 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 用户冬天 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 用户冬天 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 江海寄余生 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 江海寄余生 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 飛越時空 : 人气票 x1 (钻石:1, repeatEnd=false)
[礼物] 飛越時空 : 人气票 x2 (钻石:2, repeatEnd=false)
[礼物] 飛越時空 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 飛越時空 : 人气票 x2 (钻石:2, repeatEnd=true)
[礼物] 飛越時空 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 幸福敲了门 : 粉丝团灯牌 x1 (钻石:0, repeatEnd=true)
[礼物] 张生玲 : 粉丝团灯牌 x1 (钻石:1, repeatEnd=false)
[礼物] 申 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 申 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 浪起扬帆 : 人气票 x1 (钻石:1, repeatEnd=false)
[礼物] 浪起扬帆 : 人气票 x2 (钻石:2, repeatEnd=false)
[礼物] 浪起扬帆 : 人气票 x3 (钻石:3, repeatEnd=false)
[礼物] 浪起扬帆 : 人气票 x3 (钻石:3, repeatEnd=true)
[礼物] 大拽 : 大啤酒 x1 (钻石:2, repeatEnd=false)
[礼物] 浪起扬帆 : 为你闪耀 x1 (钻石:9, repeatEnd=false)
[礼物] 大拽 : 大啤酒 x1 (钻石:2, repeatEnd=true)
[礼物] 浪起扬帆 : 为你闪耀 x2 (钻石:18, repeatEnd=false)
[礼物] 浪起扬帆 : 为你闪耀 x2 (钻石:18, repeatEnd=true)
[礼物] 荷塘月s : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 荷塘月s : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 戏缘唐 : 粉丝团灯牌 x1 (钻石:0, repeatEnd=true)
[礼物] 桂贤 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 桂贤 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 用户冬天 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 用户冬天 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 好运来了 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 好运来了 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 青山不老 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 文锅🎙️ : 点亮粉丝团 x1 (钻石:1, repeatEnd=false)
[礼物] 青山不老 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 秀秀： : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 文锅🎙️ : 点亮粉丝团 x1 (钻石:1, repeatEnd=true)
[礼物] 秀秀： : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 文锅🎙️ : 粉丝团灯牌 x1 (钻石:1, repeatEnd=false)
[礼物] 文锅🎙️ : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 文锅🎙️ : 小心心 x2 (钻石:2, repeatEnd=false)
[礼物] 文锅🎙️ : 小心心 x5 (钻石:5, repeatEnd=false)
[礼物] 文锅🎙️ : 小心心 x8 (钻石:8, repeatEnd=false)
[礼物] 文锅🎙️ : 小心心 x10 (钻石:10, repeatEnd=false)
[礼物] 文锅🎙️ : 小心心 x10 (钻石:10, repeatEnd=true)
[礼物] .🌻 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] .🌻 : 你最好看 x1 (钻石:2, repeatEnd=false)
[礼物] .🌻 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] .🌻 : 你最好看 x1 (钻石:2, repeatEnd=true)
[礼物] 爱的曙光 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 爱的曙光 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 爱的曙光 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 爱的曙光 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 爱的曙光 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 爱的曙光 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 爱的曙光 : 你最好看 x1 (钻石:2, repeatEnd=false)
[礼物] 爱的曙光 : 你最好看 x1 (钻石:2, repeatEnd=true)
[礼物] 吴三姐 : 人气票 x1 (钻石:1, repeatEnd=false)
[礼物] 许多真情在 : 粉丝团灯牌 x1 (钻石:1, repeatEnd=false)
[礼物] 吴三姐 : 人气票 x1 (钻石:1, repeatEnd=true)
[礼物] 请你记住我！ : Thuglife x1 (钻石:99, repeatEnd=false)
[礼物] 霞 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 霞 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 圣戈班成都运营中心 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 圣戈班成都运营中心 : 小心心 x3 (钻石:3, repeatEnd=false)
[礼物] 圣戈班成都运营中心 : 小心心 x3 (钻石:3, repeatEnd=true)
[礼物] 真爱一生 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 真爱一生 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 老于 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 老于 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 浪迹天涯 : 点亮粉丝团 x1 (钻石:1, repeatEnd=false)
[礼物] 浪迹天涯 : 点亮粉丝团 x1 (钻石:1, repeatEnd=true)
[礼物] 浪迹天涯 : 粉丝团灯牌 x1 (钻石:1, repeatEnd=false)
[礼物] 开心40 : 入团卡 x1 (钻石:1, repeatEnd=false)
[礼物] 开心40 : 恭喜 开心40 成为第10927名音缘～成员 x1 (钻石:0, repeatEnd=true)
[礼物] 开心40 : 入团卡 x1 (钻石:1, repeatEnd=true)
[礼物] 做人简单点 : Thuglife x1 (钻石:99, repeatEnd=false)
[礼物] 红安 : 粉丝团灯牌 x1 (钻石:0, repeatEnd=true)
[礼物] 月亮 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 月亮 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 彭呈耀 : Thuglife x1 (钻石:99, repeatEnd=false)
[礼物] 米粒奶奶 : 入团卡 x1 (钻石:1, repeatEnd=false)
[礼物] 米粒奶奶 : 恭喜 米粒奶奶 成为第10928名音缘～成员 x1 (钻石:0, repeatEnd=true)
[礼物] 米粒奶奶 : 入团卡 x1 (钻石:1, repeatEnd=true)
[礼物] 米粒奶奶 : 粉丝团灯牌 x1 (钻石:1, repeatEnd=false)
[礼物] 用户9927506691371 : 粉丝团灯牌 x1 (钻石:0, repeatEnd=true)
